股票代號,股票名稱,券商名稱,買進金額,買進股數,賣出金額,賣出股數,買賣超金額,買超比率
2303,聯電,凱基,28938610.0,24686000.0,26460540.0,21462000.0,2478070.0,0.7656842969508024
2441,超豐,元大-北港,507400.0,420000.0,0.0,0.0,507400.0,0.7597261871358023
2492,華新科,凱基,4877750.0,5744000.0,4414940.0,4766000.0,462810.0,0.7563022326285069
3037,欣興,凱基,9006220.0,7290000.0,6977720.0,6054000.0,2028500.0,0.7505365587153241
2441,超豐,凱基-松山,673240.0,481000.0,173800.0,144000.0,499440.0,0.747807739265087
1565,精華,元富-民權,1038500.0,550000.0,0.0,0.0,1038500.0,0.7073587171012637
8081,致新,凱基-永和,1258380.0,775000.0,0.0,0.0,1258380.0,0.6285810620960944
3034,聯詠,群益金鼎,19786140.0,16634000.0,18310140.0,15874000.0,1476000.0,0.6139118667957656
5483,中美晶,群益金鼎-經國,1228560.0,822000.0,20540.0,26000.0,1208020.0,0.6023345462262172
3037,欣興,凱基-站前,1761720.0,1272000.0,159599.99999999997,240000.0,1602120.0,0.5927777330288366
2317,鴻海,兆豐,2001310.0,2052000.0,461040.0,475000.0,1540270.0,0.5882106061826367
2455,全新,元富,5536700.0,4732000.0,5024500.0,4243000.0,512200.0,0.5814231995802674
3037,欣興,康和-嘉義,2781000.0,1100000.0,1334000.0,500000.0,1447000.0,0.5353839785363934
2317,鴻海,元大,22850030.0,29657000.0,21450730.0,28488000.0,1399300.0,0.5343758569805056
2455,全新,富邦,1306800.0,1730000.0,981140.0,1343000.0,325660.0,0.36967254817514617
3034,聯詠,凱基-竹科,822480.0,649000.0,12300.0,30000.0,810180.0,0.33697772103021234
